Nombre,Enlace,Precio,Rebaja,Numero de habitaciones,Espacio,Garaje
"Ático en Calle de las Aguas, Palacio, Madrid",/inmueble/108324155/,850.000€,5%,2 hab.,106 m²,Garaje no incluido
"Piso en Calle del Carril de los Caleros, Aravaca, Madrid",/inmueble/106702840/,1.335.000€,0%,3 hab.,157 m²,Garaje incluido
"Ático en Ciudad Jardín, Madrid",/inmueble/108911794/,1.950.000€,0%,2 hab.,189 m²,Garaje incluido
"Piso en Calle de Vallehermoso, Arapiles, Madrid",/inmueble/108046286/,970.000€,3%,3 hab.,169 m²,Garaje opc. 39.000 €
"Piso en Calle de Noblejas, Palacio, Madrid",/inmueble/105036254/,1.495.000€,0%,3 hab.,164 m²,Garaje no incluido
"Piso en Calle de Esparteros, Sol, Madrid",/inmueble/108361180/,760.000€,5%,5 hab.,140 m²,Garaje no incluido
"Casa o chalet independiente en Calle Eibar, El Plantío, Madrid",/inmueble/106751275/,9.000.000€,0%,9 hab.,1.674 m²,Garaje incluido
"Piso en Calle de las Aguas, Palacio, Madrid",/inmueble/108538807/,850.000€,5%,2 hab.,106 m²,Garaje no incluido
"Piso en Calle de Triana, Nueva España, Madrid",/inmueble/102043012/,1.650.000€,0%,2 hab.,181 m²,Garaje incluido
"Piso en Calle de Valderribas, Pacífico, Madrid",/inmueble/108721036/,770.000€,0%,4 hab.,134 m²,Garaje no incluido
"Piso en Calle de la Fuente del Berro, Goya, Madrid",/inmueble/107191884/,1.520.000€,5%,3 hab.,150 m²,Garaje no incluido
"Casa o chalet independiente en Calle Eibar, s/n, El Plantío, Madrid",/inmueble/107346813/,9.000.000€,0%,9 hab.,1.674 m²,Garaje incluido
"Piso en Goya, Madrid",/inmueble/106906461/,1.520.000€,5%,3 hab.,141 m²,Garaje no incluido
"Ático en Calle de Dulce Chacón, Virgen del Cortijo - Manoteras, Madrid",/inmueble/107795847/,1.200.000€,4%,3 hab.,218 m²,Garaje incluido
"Piso en Calle de Antonio Maura, Jerónimos, Madrid",/inmueble/108698077/,4.800.000€,0%,4 hab.,291 m²,Garaje incluido
"Piso en Calle del Príncipe de Vergara, Castellana, Madrid",/inmueble/107720088/,1.990.000€,0%,3 hab.,148 m²,Garaje no incluido
"Piso en Paseo de las Acacias, Acacias, Madrid",/inmueble/107918238/,940.000€,0%,4 hab.,141 m²,Garaje incluido
"Piso en Calle de Goya, Goya, Madrid",/inmueble/107873687/,2.850.000€,0%,3 hab.,280 m²,Garaje no incluido
"Piso en Calle de Serrano, Castellana, Madrid",/inmueble/107456787/,3.000.000€,0%,2 hab.,191 m²,Garaje incluido
"Casa o chalet independiente en Calle del Valle de Toranzo, Valdemarín, Madrid",/inmueble/96292622/,2.500.000€,0%,11 hab.,761 m²,Garaje no incluido
"Piso en Calle de José Ortega y Gasset, Castellana, Madrid",/inmueble/107145320/,7.900.000€,0%,4 hab.,473 m²,Garaje incluido
"Piso en Calle de Noblejas, Palacio, Madrid",/inmueble/105521069/,1.495.000€,0%,3 hab.,164 m²,Garaje no incluido
"Piso en Calle del Carril de los Caleros, Aravaca, Madrid",/inmueble/106611139/,1.335.000€,0%,3 hab.,195 m²,Garaje incluido
"Ático en Calle de Luis Mitjans, Adelfas, Madrid",/inmueble/108336058/,760.000€,0%,2 hab.,95 m²,Garaje opc. 20.000 €
"Piso en Calle de Santa Engracia, Trafalgar, Madrid",/inmueble/108635798/,1.249.000€,0%,2 hab.,108 m²,Garaje no incluido
"Ático en Calle de Manuel González Longoria, Trafalgar, Madrid",/inmueble/108505570/,2.050.000€,0%,3 hab.,158 m²,Garaje incluido
"Casa o chalet independiente en Avenida del Levante, Bernabéu-Hispanoamérica, Madrid",/inmueble/107568319/,1.850.000€,0%,4 hab.,300 m²,Garaje incluido
"Piso en Calle de las Fuentes, Sol, Madrid",/inmueble/107526421/,920.000€,6%,3 hab.,146 m²,Garaje no incluido
"Piso en Calle del Doctor Esquerdo, Adelfas, Madrid",/inmueble/108893922/,1.150.000€,0%,4 hab.,140 m²,Garaje incluido
"Casa o chalet independiente en Avenida de Fuentelarreina, Ciudad Universitaria, Madrid",/inmueble/103342470/,2.200.000€,0%,5 hab.,510 m²,Garaje incluido
"Ático en Calle de Alonso Cano, Nuevos Ministerios-Ríos Rosas, Madrid",/inmueble/106595801/,855.000€,4%,1 hab.,80 m²,Garaje no incluido
"Piso en Calle de las Fuentes, Sol, Madrid",/inmueble/108495428/,920.000€,6%,2 hab.,147 m²,Garaje no incluido
"Piso en Calle de las Mártires Concepcionistas, Goya, Madrid",/inmueble/108699960/,2.450.000€,0%,4 hab.,181 m²,Garaje no incluido
"Piso en Calle del Conde de Peñalver, Goya, Madrid",/inmueble/106158684/,1.970.000€,0%,3 hab.,179 m²,Garaje no incluido
"Piso en Calle de Alcántara, Lista, Madrid",/inmueble/108556334/,999.250€,0%,4 hab.,116 m²,Garaje incluido
"Piso en Avenida del General Perón, Cuatro Caminos, Madrid",/inmueble/103963452/,2.350.000€,0%,5 hab.,360 m²,Garaje incluido
"Piso en Calle de Goya, Goya, Madrid",/inmueble/105122568/,3.600.000€,0%,5 hab.,379 m²,Garaje no incluido
"Piso en Avenida del General Perón, Cuatro Caminos, Madrid",/inmueble/107636973/,2.350.000€,0%,5 hab.,360 m²,Garaje incluido
"Ático en Calle de Manuel Silvela, Trafalgar, Madrid",/inmueble/108765527/,750.000€,0%,1 hab.,68 m²,Garaje no incluido
"Casa o chalet independiente en Calle Eibar, El Plantío, Madrid",/inmueble/106713206/,9.000.000€,0%,9 hab.,1.674 m²,Garaje incluido
"Casa o chalet independiente en Bernabéu-Hispanoamérica, Madrid",/inmueble/108745675/,2.500.000€,0%,8 hab.,556 m²,Garaje no incluido
"Casa o chalet independiente en Calle Peguerinos, Ciudad Universitaria, Madrid",/inmueble/103478338/,4.500.000€,0%,5 hab.,730 m²,Garaje incluido
"Piso en Calle de Alberto Aguilera, Arapiles, Madrid",/inmueble/108112681/,867.000€,4%,2 hab.,94 m²,Garaje no incluido
"Piso en Calle de Vallehermoso, Arapiles, Madrid",/inmueble/108337802/,970.000€,3%,3 hab.,169 m²,Garaje opc. 39.000 €
"Piso en Calle de Trujillos, Sol, Madrid",/inmueble/108460722/,750.000€,0%,2 hab.,114 m²,Garaje no incluido
"Piso en Calle del Poeta Joan Maragall, Cuzco-Castillejos, Madrid",/inmueble/108315992/,940.000€,6%,3 hab.,116 m²,Garaje incluido
"Dúplex en Calle de Padilla, Lista, Madrid",/inmueble/107792540/,3.300.000€,0%,4 hab.,287 m²,Garaje incluido
"Piso en Paseo de La Habana, Bernabéu-Hispanoamérica, Madrid",/inmueble/107445194/,4.400.000€,0%,4 hab.,463 m²,Garaje incluido
"Ático en Calle Mayor, Sol, Madrid",/inmueble/107264664/,1.690.000€,0%,2 hab.,145 m²,Garaje no incluido
"Ático en Calle de Claudio Coello, Recoletos, Madrid",/inmueble/108127673/,2.580.000€,0%,2 hab.,130 m²,Garaje no incluido
"Piso en Calle de Castelló, Recoletos, Madrid",/inmueble/108535176/,3.480.000€,0%,3 hab.,228 m²,Garaje incluido
"Piso en Calle de Ayala, Goya, Madrid",/inmueble/108831018/,750.000€,0%,2 hab.,68 m²,Garaje no incluido
"Piso en Carrera de San Jerónimo, Sol, Madrid",/inmueble/102711209/,2.350.000€,0%,4 hab.,218 m²,Garaje no incluido
"Piso en Calle de Arturo Soria, Costillares, Madrid",/inmueble/108710590/,1.640.000€,0%,4 hab.,275 m²,Garaje incluido
"Dúplex en Calle de Rufino Blanco, Fuente del Berro, Madrid",/inmueble/106202655/,1.200.000€,0%,3 hab.,181 m²,Garaje no incluido
"Piso en Calle de Santa Engracia, Trafalgar, Madrid",/inmueble/107441428/,790.000€,0%,2 hab.,73 m²,Garaje no incluido
"Piso en Calle de Raimundo Fernández Villaverde, Nuevos Ministerios-Ríos Rosas, Madrid",/inmueble/107556123/,1.315.000€,0%,3 hab.,161 m²,Garaje incluido
"Piso en Calle de Jorge Manrique, El Viso, Madrid",/inmueble/108122019/,2.150.000€,0%,1 hab.,176 m²,Garaje no incluido
"Piso en Calle de Juan Ramón Jiménez, Nueva España, Madrid",/inmueble/108627716/,1.650.000€,2%,4 hab.,196 m²,Garaje no incluido
"Piso en San Pascual, Madrid",/inmueble/108282763/,540.000€,3%,1 hab.,78 m²,Garaje incluido
"Piso en Bernabéu-Hispanoamérica, Madrid",/inmueble/108442541/,995.000€,0%,3 hab.,170 m²,Garaje incluido
"Piso en Recoletos, Madrid",/inmueble/106167991/,3.150.000€,0%,4 hab.,244 m²,Garaje no incluido
"Piso en Goya, Madrid",/inmueble/107513055/,3.400.000€,0%,6 hab.,352 m²,Garaje no incluido
"Piso en Calle de Montalbán, Jerónimos, Madrid",/inmueble/106360326/,2.700.000€,0%,2 hab.,220 m²,Garaje incluido
"Chalet adosado en Peñagrande, Madrid",/inmueble/107306908/,1.599.000€,0%,7 hab.,543 m²,Garaje incluido
"Piso en Malasaña-Universidad, Madrid",/inmueble/108617475/,1.500.000€,0%,4 hab.,211 m²,Garaje no incluido
"Piso en Calle de Diego de León, Lista, Madrid",/inmueble/108752576/,850.000€,0%,2 hab.,83 m²,Garaje no incluido
"Piso en Paseo de Eduardo Dato, Almagro, Madrid",/inmueble/108401741/,7.250.000€,0%,5 hab.,485 m²,Garaje incluido
"Piso en Recoletos, Madrid",/inmueble/106483093/,3.150.000€,0%,4 hab.,244 m²,Garaje no incluido
"Piso en Nuevos Ministerios-Ríos Rosas, Madrid",/inmueble/108611951/,2.050.000€,0%,5 hab.,249 m²,Garaje incluido
"Piso en El Viso, Madrid",/inmueble/97995920/,1.950.000€,0%,5 hab.,390 m²,Garaje no incluido
"Chalet pareado en Peñagrande, Madrid",/inmueble/98352607/,1.435.000€,0%,6 hab.,388 m²,Garaje incluido
"Piso en Malasaña-Universidad, Madrid",/inmueble/108574393/,1.650.000€,0%,3 hab.,210 m²,Garaje no incluido
"Piso en Calle de José Abascal, Almagro, Madrid",/inmueble/108723610/,1.495.000€,0%,3 hab.,147 m²,Garaje no incluido
"Piso en Paseo de Eduardo Dato, Almagro, Madrid",/inmueble/107983438/,7.250.000€,0%,7 hab.,485 m²,Garaje incluido
"Ático en Paseo de Eduardo Dato, Almagro, Madrid",/inmueble/108134168/,7.250.000€,0%,5 hab.,485 m²,Garaje incluido
"Piso en Calle de Alberto Bosch, Jerónimos, Madrid",/inmueble/103839118/,2.500.000€,0%,3 hab.,227 m²,Garaje no incluido
"Chalet adosado en Calle de Estanislao Gómez, Palomas, Madrid",/inmueble/106666173/,1.250.000€,0%,6 hab.,353 m²,Garaje incluido
"Piso en Cuatro Caminos, Madrid",/inmueble/108833101/,910.000€,0%,2 hab.,103 m²,Garaje no incluido
"Piso en Huertas-Cortes, Madrid",/inmueble/108779847/,2.090.000€,0%,3 hab.,209 m²,Garaje no incluido
"Ático en Calle de Celeste, Colina, Madrid",/inmueble/107762795/,2.227.000€,0%,4 hab.,493 m²,Garaje incluido
"Piso en Calle Alcalá, Goya, Madrid",/inmueble/108357057/,2.950.000€,0%,4 hab.,320 m²,Garaje no incluido
"Piso en Calle de la Fuente del Berro, Goya, Madrid",/inmueble/106955866/,1.300.000€,0%,3 hab.,170 m²,Garaje no incluido
"Piso en Almagro, Madrid",/inmueble/98249348/,2.415.000€,0%,3 hab.,227 m²,Garaje no incluido
"Piso en Malasaña-Universidad, Madrid",/inmueble/108788502/,1.290.000€,0%,2 hab.,128 m²,Garaje no incluido
"Piso en Calle de Biarritz, Guindalera, Madrid",/inmueble/107168869/,930.000€,0%,4 hab.,160 m²,Garaje incluido
"Piso en Calle de Pedro Rico, La Paz, Madrid",/inmueble/107518814/,975.000€,0%,4 hab.,158 m²,Garaje incluido
"Piso en Calle de Hernani, Cuatro Caminos, Madrid",/inmueble/108472465/,799.000€,0%,2 hab.,101 m²,Garaje no incluido
"Piso en Recoletos, Madrid",/inmueble/108714872/,4.850.000€,0%,4 hab.,353 m²,Garaje incluido
"Piso en Calle de Fernández de los Ríos, Arapiles, Madrid",/inmueble/108530257/,1.900.000€,0%,4 hab.,246 m²,Garaje no incluido
"Piso en Plaza de Lavapiés, Lavapiés-Embajadores, Madrid",/inmueble/106506235/,723.000€,0%,5 hab.,123 m²,Garaje no incluido
"Ático en Estrella, Madrid",/inmueble/108081497/,2.400.000€,0%,3 hab.,280 m²,Garaje incluido
"Piso en Recoletos, Madrid",/inmueble/108661889/,2.100.000€,0%,3 hab.,130 m²,Garaje no incluido
"Dúplex en San Juan Bautista, Madrid",/inmueble/108194346/,1.600.000€,0%,6 hab.,290 m²,Garaje incluido
"Piso en Castellana, Madrid",/inmueble/108075447/,3.350.000€,0%,3 hab.,284 m²,Garaje no incluido
"Ático en Chueca-Justicia, Madrid",/inmueble/108368239/,6.200.000€,0%,4 hab.,311 m²,Garaje no incluido
"Piso en Malasaña-Universidad, Madrid",/inmueble/107807819/,1.395.000€,0%,2 hab.,128 m²,Garaje no incluido
"Piso en Cuatro Caminos, Madrid",/inmueble/108693436/,1.200.000€,0%,3 hab.,124 m²,Garaje no incluido
"Ático en El Viso, Madrid",/inmueble/108361977/,7.000.000€,0%,3 hab.,614 m²,Garaje incluido
"Piso en Calle del Monte Esquinza, Almagro, Madrid",/inmueble/108651804/,899.000€,0%,2 hab.,75 m²,Garaje no incluido
"Chalet adosado en Palomas, Madrid",/inmueble/107556913/,1.100.000€,0%,4 hab.,155 m²,Garaje no incluido
"Piso en Sol, Madrid",/inmueble/108708678/,1.590.000€,0%,4 hab.,179 m²,Garaje no incluido
"Dúplex en El Viso, Madrid",/inmueble/108152823/,3.475.000€,0%,6 hab.,469 m²,Garaje incluido
"Piso en Ibiza, Madrid",/inmueble/108633478/,2.790.000€,0%,2 hab.,145 m²,Garaje no incluido
"Piso en Chueca-Justicia, Madrid",/inmueble/108197442/,2.950.000€,0%,4 hab.,265 m²,Garaje no incluido
"Casa o chalet independiente en Aravaca, Madrid",/inmueble/107514241/,4.500.000€,0%,5 hab.,545 m²,Garaje incluido
"Chalet pareado en Peñagrande, Madrid",/inmueble/94329037/,1.599.000€,0%,7 hab.,600 m²,Garaje incluido
"Casa o chalet independiente en Conde Orgaz-Piovera, Madrid",/inmueble/108403153/,7.000.000€,0%,6 hab.,1.035 m²,Garaje incluido
"Casa o chalet independiente en Ciudad Jardín, Madrid",/inmueble/108474927/,1.550.000€,0%,2 hab.,135 m²,Garaje no incluido
"Piso en Calle de Francisco Silvela, Guindalera, Madrid",/inmueble/108668882/,949.000€,0%,3 hab.,97 m²,Garaje incluido
"Piso en Palomas, Madrid",/inmueble/108123163/,1.175.000€,0%,3 hab.,186 m²,Garaje incluido
"Chalet pareado en Valdemarín, Madrid",/inmueble/107281449/,2.590.000€,0%,5 hab.,577 m²,Garaje incluido
"Piso en Bernabéu-Hispanoamérica, Madrid",/inmueble/108596646/,690.000€,0%,1 hab.,76 m²,Garaje no incluido
"Casa o chalet independiente en Conde Orgaz-Piovera, Madrid",/inmueble/104161105/,4.000.000€,0%,6 hab.,969 m²,Garaje incluido
"Casa o chalet independiente en Conde Orgaz-Piovera, Madrid",/inmueble/106469460/,3.490.000€,0%,6 hab.,674 m²,Garaje incluido
"Piso en Calle de José Ortega y Gasset, Castellana, Madrid",/inmueble/101980713/,7.900.000€,0%,4 hab.,473 m²,Garaje incluido
"Casa o chalet independiente en Conde Orgaz-Piovera, Madrid",/inmueble/108734495/,7.000.000€,0%,9 hab.,1.035 m²,Garaje incluido
"Casa o chalet independiente en Aravaca, Madrid",/inmueble/108614155/,3.250.000€,0%,6 hab.,746 m²,Garaje incluido
"Piso en Calle de Covarrubias, Trafalgar, Madrid",/inmueble/107271124/,2.100.000€,0%,6 hab.,274 m²,Garaje incluido
"Ático en El Viso, Madrid",/inmueble/108225264/,7.000.000€,0%,3 hab.,462 m²,Garaje incluido
"Piso en Bernabéu-Hispanoamérica, Madrid",/inmueble/106865650/,3.900.000€,0%,6 hab.,539 m²,Garaje incluido
"Chalet pareado en Calle de la Isla de Alegranza, Ciudad Universitaria, Madrid",/inmueble/108546329/,1.950.000€,0%,5 hab.,532 m²,Garaje incluido
"Piso en Calle del General Arrando, Almagro, Madrid",/inmueble/107423464/,890.000€,4%,4 hab.,110 m²,Garaje no incluido
"Piso en Calle de Lombía, 5, Goya, Madrid",/inmueble/106408678/,1.395.000€,0%,3 hab.,113 m²,Garaje no incluido
"Ático en Calle de Hermosilla, Recoletos, Madrid",/inmueble/108299885/,1.800.000€,0%,2 hab.,100 m²,Garaje no incluido
"Piso en Calle de Castelló, Recoletos, Madrid",/inmueble/108088929/,1.550.000€,0%,2 hab.,85 m²,Garaje no incluido
"Piso en Calle del Conde de Peñalver, Goya, Madrid",/inmueble/108088921/,1.550.000€,0%,3 hab.,115 m²,Garaje no incluido
"Piso en Calle de Bravo Murillo, Arapiles, Madrid",/inmueble/107233356/,870.000€,0%,2 hab.,103 m²,Garaje no incluido
"Piso en Calle del Divino Pastor, Malasaña-Universidad, Madrid",/inmueble/107308505/,985.000€,7%,2 hab.,129 m²,Garaje incluido
"Piso en Calle de Ayala, Goya, Madrid",/inmueble/108686386/,560.000€,0%,1 hab.,50 m²,Garaje no incluido
"Ático en Calle de Alustante, Prosperidad, Madrid",/inmueble/106770687/,1.339.000€,0%,3 hab.,161 m²,Garaje no incluido
"Chalet adosado en Calle Jaenar, Conde Orgaz-Piovera, Madrid",/inmueble/108211222/,2.522.000€,0%,6 hab.,440 m²,Garaje incluido
"Piso en Recoletos, Madrid",/inmueble/108090929/,5.900.000€,0%,5 hab.,333 m²,Garaje no incluido
"Chalet pareado en Valdemarín, Madrid",/inmueble/107282868/,2.590.000€,0%,4 hab.,577 m²,Garaje incluido
"Piso en Paseo del General Martínez Campos, 36, Almagro, Madrid",/inmueble/107621097/,1.790.000€,0%,3 hab.,128 m²,Garaje no incluido
"Casa o chalet independiente en Calle Virgen de los Rosales, Aravaca, Madrid",/inmueble/98954898/,3.950.000€,0%,7 hab.,800 m²,Garaje incluido
"Dúplex en Malasaña-Universidad, Madrid",/inmueble/108447881/,1.295.000€,0%,2 hab.,170 m²,Garaje no incluido
"Piso en Travesía de San Mateo, Chueca-Justicia, Madrid",/inmueble/108112577/,1.490.000€,0%,2 hab.,127 m²,Garaje no incluido
"Piso en Avenida del General Perón, Cuatro Caminos, Madrid",/inmueble/107966052/,960.000€,0%,3 hab.,145 m²,Garaje no incluido
"Piso en Sol, Madrid",/inmueble/107087838/,3.390.000€,0%,4 hab.,438 m²,Garaje incluido
"Piso en Calle de Montesa, Goya, Madrid",/inmueble/107887720/,1.750.000€,0%,3 hab.,175 m²,Garaje no incluido
"Piso en Calle de Méjico, Guindalera, Madrid",/inmueble/108733551/,875.000€,0%,3 hab.,112 m²,Garaje no incluido
"Piso en Calle de Recoletos, Recoletos, Madrid",/inmueble/108913937/,1.352.000€,0%,2 hab.,103 m²,Garaje no incluido
"Piso en Malasaña-Universidad, Madrid",/inmueble/108585083/,1.650.000€,0%,3 hab.,202 m²,Garaje no incluido
"Piso en Goya, Madrid",/inmueble/108212836/,1.550.000€,0%,3 hab.,115 m²,Garaje no incluido
"Piso en Calle de Lagasca, Castellana, Madrid",/inmueble/108338614/,1.690.000€,0%,3 hab.,107 m²,Garaje no incluido
"Ático en Castellana, Madrid",/inmueble/108042619/,1.765.000€,2%,2 hab.,127 m²,Garaje no incluido
"Piso en Recoletos, Madrid",/inmueble/108366853/,1.150.000€,0%,2 hab.,87 m²,Garaje no incluido
"Piso en Avenida de América, Guindalera, Madrid",/inmueble/107083524/,670.000€,2%,2 hab.,80 m²,Garaje no incluido
